"Number","Name","Latitude","Longitude","District","Public","Total docks"
"A32019","175 N Harvard St","42.363796","-71.129164","Boston","Yes","18"
"S32035","191 Beacon St","42.38032335045416","-71.10878612855231","Somerville","Yes","19"
"C32094","2 Hummingbird Lane at Olmsted Green","42.28887","-71.095003","Boston","Yes","17"
"S32023","30 Dane St","42.38100143038052","-71.10402522613185","Somerville","Yes","15"
"M32026","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","Cambridge","Yes","23"
"C32091","645 Summer St","42.341780891371904","-71.03987016504107","Boston","Yes","19"
"M32054","699 Mt Auburn St","42.37500235137831","-71.14871613699506","Cambridge","Yes","25"
"V32001","7 Acre Park","42.41143222973408","-71.06823265090497","Everett","Yes","15"
"B32060","700 Commonwealth Ave.","42.34960945333059","-71.10391523698127","Boston","Yes","12"
"M32060","700 Huron Ave","42.380788172914286","-71.15412890911102","Cambridge","Yes","19"
"M32064","75 Binney St","42.36550728505653","-71.0801375997653","Cambridge","Yes","19"
"M32058","84 Cambridgepark Dr","42.3936","-71.143941","Cambridge","Yes","25"
"C32065","Adams St at Lonsdale St","42.291679428741226","-71.05726346409938","Boston","Yes","0"
"A32032","Airport T Stop - Bremen St at Brooks St","42.374079742097614","-71.03276392826956","Boston","Yes","11"
"C32061","Albany St at E. Brookline St","42.33664795427071","-71.0689445958451","Boston","Yes","15"
"M32046","Alewife MBTA at Steel Place","42.395588457167094","-71.14260613918304","Cambridge","Yes","19"
"M32033","Alewife Station at Russell Field","42.396105","-71.139459","Cambridge","Yes","23"
"C32079","American Legion Hwy at Canterbury St","42.278811581565975","-71.11687703062671","Boston","Yes","15"
"M32059","Ames St at Broadway","42.3636929","-71.0875672","Cambridge","Yes","19"
"M32037","Ames St at Main St","42.3625","-71.08822","Cambridge","Yes","19"
"C32012","Andrew T Stop - Dorchester Ave at Dexter St","42.330473650415165","-71.05701684951782","Boston","Yes","0"
"B32004","Aquarium T Stop - 200 Atlantic Ave","42.35991176110118","-71.0514298081398","Boston","Yes","23"
"D32004","Arch St at Franklin St","42.355335019412564","-71.0582291708306","Boston","Yes","0"
"C32048","Archdale Rd at Washington St","42.29266592872725","-71.12119538714069","Boston","Yes","0"
"W32004","Arsenal Yards","42.36277388549605","-71.15764854490408","Watertown","Yes","11"
"C32062","Ashmont T Stop","42.2856944","-71.0641389","Boston","Yes","15"
"S32018","Assembly Square T","42.392232840046276","-71.07746601104736","Somerville","Yes","15"
"A32003","B.U. Central - 725 Comm. Ave.","42.350406","-71.108279","Boston","Yes","11"
"C32003","Back Bay T Stop - Dartmouth St at Stuart St","42.34807412317439","-71.07657015323639","Boston","Yes","19"
"N32003","Bacon St at Washington St","42.35711920909866","-71.1860453666327","Newton","Yes","11"
"B32055","Bartlett St at John Elliot Sq","42.3294633","-71.0901582","Boston","Yes","15"
"D32024","Beacon St at Charles St","42.356052","-71.069849","Boston","Yes","0"
"B32016","Beacon St at Massachusetts Ave","42.35082680669095","-71.0898108780384","Boston","Yes","0"
"K32015","Beacon St at St. Paul St","42.34373094998716","-71.11614107161584","Brookline","Yes","0"
"K32002","Beacon St at Tappan St","42.33826680058037","-71.13894682028331","Brookline","Yes","15"
"C32059","Belgrade Ave at Walworth St","42.28634589486312","-71.13672129828046","Boston","Yes","15"
"A32028","Bennington St at Byron St","42.383532520117896","-71.01619094610214","Boston","Yes","15"
"A32039","Bennington St at Constitution Beach","42.385223935870535","-71.01063068965232","Boston","Yes","17"
"M32067","Berkshire Street at Cambridge Street","42.37207657915397","-71.08995433905875","Cambridge","Yes","19"
"M32027","Binney St / Sixth St","42.36608797388682","-71.08633603909765","Cambridge","Yes","19"
"C32044","Blue Hill Ave at Almont St","42.274620671812244","-71.09372552493369","Boston","Yes","19"
"C32092","Blue Hill Ave at Havelock St","42.286012","-71.090986","Boston","Yes","18"
"B32057","Blue Hill Ave at Southwood St","42.317860205899876","-71.07798628527235","Boston","Yes","0"
"B32008","Boston City Hall - 28 State St","42.35892","-71.057629","Boston","Yes","21"
"D32018","Boston Convention and Exhibition Center - Summer St at West Side Dr","42.347763454147454","-71.0453599691391","Boston","Yes","23"
"A32036","Boston East - 126 Border St","42.373312125824704","-71.0410200806291","Boston","Yes","15"
"A32045","Boston Landing","42.356560923089404","-71.14167537549292","Boston","Yes","17"
"C32002","Boston Medical Center - E Concord St at Harrison Ave","42.33639915372498","-71.07306711393903","Boston","Yes","19"
"D32044","Boston Public Market","42.36254854409333","-71.0573735833168","Boston","Yes","15"
"B32031","Bowdoin St at Quincy St","42.30785224238503","-71.06512248516083","Boston","Yes","15"
"D32013","Boylston St at Berkeley St","42.3511419825475","-71.07329249382019","Boston","Yes","15"
"D32056","Boylston St at Charles St","42.3525760946701","-71.06764405041758","Boston","Yes","31"
"D32055","Boylston St at Dartmouth St","42.35010609546997","-71.07720464005979","Boston","Yes","0"
"D32046","Boylston St at Exeter St","42.349589423682445","-71.0794677917329","Boston","Yes","19"
"C32008","Boylston St at Fairfield St","42.348762","-71.082383","Boston","Yes","19"
"B32034","Boylston St at Jersey St","42.344650628878306","-71.09732501226972","Boston","Yes","15"
"B32018","Boylston St at Massachusetts Ave","42.34740620525209","-71.08678414955648","Boston","Yes","15"
"B32013","Brigham Circle - Francis St at Huntington Ave","42.33462893055976","-71.10407917767589","Boston","Yes","15"
"D32028","Brighton Center - Washington St at Cambridge St","42.34894857235593","-71.15027189254761","Boston","Yes","17"
"A32005","Brighton Mills - 370 Western Ave","42.3615457081725","-71.13776206970215","Boston","Yes","15"
"V32011","Broadway at Beacham St","42.39836059620832","-71.06373842814719","Everett","Yes","15"
"S32016","Broadway at Central St","42.39517150121575","-71.09850591982195","Somerville","Yes","15"
"L32004","Broadway at Grafton St","42.40994213011757","-71.14009319811885","Arlington","Yes","0"
"V32004","Broadway at Lynde St","42.39648358247693","-71.06546759905541","Everett","Yes","15"
"V32008","Broadway at Maple St","42.410346909767846","-71.05260457852637","Everett","Yes","14"
"S32044","Broadway Opposite Norwood Ave  (Temp Winter Station)","42.396764","-71.102376","Somerville","Yes","15"
"S32014","Broadway St at Mt Pleasant St","42.386141411639564","-71.07828140258789","Somerville","Yes","19"
"K32005","Brookline Town Hall","42.33376472623494","-71.12046446660315","Brookline","Yes","15"
"K32003","Brookline Village - Station Street at MBTA","42.33274392304887","-71.11626680949485","Brookline","Yes","19"
"A32023","Bunker Hill Community College","42.37408991426522","-71.06905996799469","Boston","Yes","23"
"B32020","Burlington Ave at Brookline Ave","42.345733","-71.100694","Boston","Yes","0"
"M32052","Cambridge Dept. of Public Works -147 Hampshire St.","42.37119727759414","-71.09759867191315","Cambridge","Yes","19"
"M32013","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","Cambridge","Yes","19"
"M32007","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","Cambridge","Yes","15"
"D32000","Cambridge St at Joy St","42.36125721646537","-71.06528744101524","Boston","Yes","15"
"M32019","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","Cambridge","Yes","15"
"A32046","Canal St at Causeway St","42.36530094929082","-71.06092190993877","Boston","Yes","0"
"M32012","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","Cambridge","Yes","17"
"M32011","Central Square at Mass Ave / Essex St","42.36507","-71.1031","Cambridge","Yes","19"
