Number,Name,Latitude,Longitude,District,Public,Total docks
A32019,175 N Harvard St,42.363796,-71.129164,Boston,Yes,18
S32035,191 Beacon St,42.3803233505,-71.1087861286,Somerville,Yes,19
S32023,30 Dane St,42.3810014304,-71.1040252261,Somerville,Yes,15
M32026,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Cambridge,Yes,23
M32054,699 Mt Auburn St,42.3750023514,-71.148716137,Cambridge,Yes,25
B32060,700 Commonwealth Ave.,42.3496094533,-71.103915237,Boston,Yes,12
M32060,700 Huron Ave,42.3807881729,-71.1541289091,Cambridge,Yes,19
M32064,75 Binney St,42.3655072851,-71.0801375998,Cambridge,Yes,19
M32058,84 Cambridgepark Dr,42.3936,-71.143941,Cambridge,Yes,25
C32065,Adams St at Lonsdale St,42.2916794287,-71.0572634641,Boston,Yes,19
A32032,Airport T Stop - Bremen St at Brooks St,42.3753549713,-71.0313333571,Boston,Yes,15
C32061,Albany St at E. Brookline St,42.3366479543,-71.0689445958,Boston,Yes,15
M32046,Alewife MBTA at Steel Place,42.3955884572,-71.1426061392,Cambridge,Yes,19
M32033,Alewife Station at Russell Field,42.396105,-71.139459,Cambridge,Yes,23
C32079,American Legion Hwy at Canterbury St,42.2788115816,-71.1168770306,Boston,Yes,15
M32059,Ames St at Broadway,42.3636929,-71.0875672,Cambridge,Yes,19
M32037,Ames St at Main St,42.3625,-71.08822,Cambridge,Yes,19
C32012,Andrew T Stop - Dorchester Ave at Dexter St,42.3304736504,-71.0570168495,Boston,Yes,15
B32004,Aquarium T Stop - 200 Atlantic Ave,42.3599117611,-71.0514298081,Boston,Yes,23
D32004,Arch St at Franklin St,42.3553350194,-71.0582291708,Boston,Yes,23
C32048,Archdale Rd at Washington St,42.2926659287,-71.1211953871,Boston,Yes,15
C32062,Ashmont T Stop,42.2856944,-71.0641389,Boston,Yes,15
S32018,Assembly Square T,42.39223284,-71.077466011,Somerville,Yes,15
A32003,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,Boston,Yes,11
C32003,Back Bay T Stop - Dartmouth St at Stuart St,42.3480741232,-71.0765701532,Boston,Yes,19
S32007,Ball Sq,42.3991825993,-71.1110445485,Somerville,Yes,15
B32055,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,Boston,Yes,15
D32024,Beacon St at Charles St,42.356052,-71.069849,Boston,Yes,15
K32013,Beacon St at Englewood Ave,42.3373691537,-71.1448597723,Brookline,Yes,15
K32016,Beacon St at Hawes St,42.3449678333,-71.110401769,Brookline,Yes,15
B32016,Beacon St at Massachusetts Ave,42.3508268067,-71.089810878,Boston,Yes,19
K32015,Beacon St at St. Paul St,42.34373095,-71.1161410716,Brookline,Yes,15
K32002,Beacon St at Tappan St,42.3382668006,-71.1389468203,Brookline,Yes,15
S32003,Beacon St at Washington / Kirkland,42.37842,-71.105668,Somerville,Yes,19
C32059,Belgrade Ave at Walworth St,42.2863458949,-71.1367212983,Boston,Yes,15
A32028,Bennington St at Byron St,42.3835325201,-71.0161909461,Boston,Yes,15
A32039,Bennington St at Constitution Beach,42.3852239359,-71.0106306897,Boston,Yes,17
M32067,Berkshire Street at Cambridge Street,42.3720765792,-71.0899543391,Cambridge,Yes,19
M32027,Binney St / Sixth St,42.3660879739,-71.0863360391,Cambridge,Yes,19
D32050,Blossom St at Charles St,42.3643558903,-71.0695936904,Boston,Yes,15
C32044,Blue Hill Ave at Almont St,42.2746206718,-71.0937255249,Boston,Yes,19
B32057,Blue Hill Ave at Southwood St,42.3178602059,-71.0779862853,Boston,Yes,15
B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Boston,Yes,21
D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.3477634541,-71.0453599691,Boston,Yes,23
A32036,Boston East - 126 Border St,42.3733121258,-71.0410200806,Boston,Yes,15
A32045,Boston Landing,42.3565609231,-71.1416753755,Boston,Yes,17
C32002,Boston Medical Center - E Concord St at Harrison Ave,42.3363991537,-71.0730671139,Boston,Yes,19
D32044,Boston Public Market,42.3625485441,-71.0573735833,Boston,Yes,15
B32031,Bowdoin St at Quincy St,42.3078522424,-71.0651224852,Boston,Yes,15
D32007,Boylston St at Arlington St,42.3520426223,-71.0705780983,Boston,Yes,23
D32013,Boylston St at Berkeley St,42.3511419825,-71.0732924938,Boston,Yes,15
D32027,Boylston St at Dartmouth St,42.350413,-71.07655,Boston,Yes,15
D32046,Boylston St at Exeter St,42.3495894237,-71.0794677917,Boston,Yes,19
C32008,Boylston St at Fairfield St,42.348762,-71.082383,Boston,Yes,19
B32034,Boylston St at Jersey St,42.3446506289,-71.0973250123,Boston,Yes,15
B32018,Boylston St at Massachusetts Ave,42.3474062053,-71.0867841496,Boston,Yes,15
B32013,Brigham Circle - Francis St at Huntington Ave,42.3346289306,-71.1040791777,Boston,Yes,15
D32028,Brighton Center - Washington St at Cambridge St,42.3489485724,-71.1502718925,Boston,Yes,17
A32005,Brighton Mills - 370 Western Ave,42.3615457082,-71.1377620697,Boston,Yes,15
V32011,Broadway at Beacham St,42.3983605962,-71.0637384281,Everett,Yes,15
S32016,Broadway at Central St,42.3951715012,-71.0985059198,Somerville,Yes,15
V32004,Broadway at Lynde St,42.3964835825,-71.0654675991,Everett,Yes,15
V32008,Broadway at Maple St,42.4103469098,-71.0526045785,Everett,Yes,14
S32014,Broadway St at Mt Pleasant St,42.3861414116,-71.0782814026,Somerville,Yes,19
C32053,Broadway T Stop,42.3427811622,-71.0574727507,Boston,Yes,15
K32005,Brookline Town Hall,42.3337647262,-71.1204644666,Brookline,Yes,15
K32003,Brookline Village - Station Street at MBTA,42.332743923,-71.1162668095,Brookline,Yes,19
A32023,Bunker Hill Community College,42.3740899143,-71.069059968,Boston,Yes,23
B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Boston,Yes,15
M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.3711972776,-71.0975986719,Cambridge,Yes,19
M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Cambridge,Yes,19
M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Cambridge,Yes,15
D32000,Cambridge St at Joy St,42.3612572165,-71.065287441,Boston,Yes,15
M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,Cambridge,Yes,15
C32088,Central Ave at River St,42.2709470703,-71.0733790141,Boston,Yes,15
M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge,Yes,17
M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge,Yes,19
A32041,Central Square East Boston,42.3754491255,-71.0391854868,Boston,Yes,15
C32086,Centre St at Parkway YMCA,42.2827790107,-71.1572885142,Boston,Yes,19
E32008,Centre St at Seaverns Ave,42.3121203,-71.1142981,Boston,Yes,15
C32085,Centre St at W. Roxbury Post Office,42.2863319911,-71.1534475537,Boston,Yes,19
D32016,Charles Circle - Charles St at Cambridge St,42.3607929686,-71.0711896234,Boston,Yes,19
D32051,Charles St at Pinckney St,42.3587253046,-71.0707953201,Boston,Yes,0
D32039,Charlestown Navy Yard,42.3741245494,-71.0548119994,Boston,Yes,23
A32027,Chelsea St at Saratoga St,42.379772,-71.027448,Boston,Yes,15
V32009,Chelsea St at Vine St,42.4032805697,-71.0476263986,Everett,Yes,15
M32049,Child St at North St,42.371504941,-71.0724931212,Cambridge,Yes,23
D32015,Chinatown Gate Plaza,42.351356,-71.059367,Boston,Yes,19
D32019,Chinatown T Stop,42.352409,-71.062679,Boston,Yes,19
B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.3436658245,-71.0858237743,Boston,Yes,19
S32010,Clarendon Hill at Broadway,42.406302,-71.132446,Somerville,Yes,15
D32047,Clarendon St at Newbury St,42.3515530847,-71.0756903144,Boston,Yes,19
